dealId,legacyId,date,dealStatus,closingDate,target,country,region,bucket,classification,confidence,scopeReason,supportedCompanyIds,supportedCompanyNames,classificationReason,ambiguityReasons,supportingSourceUrls,coverageSnapshotSha256
"cmrv5v3zu0000h8hefq9aaday","WB-2026-05-02-001","2026-05-08","ANNOUNCED","","Power Factors","Global","NORTH_AMERICA","NO_EXISTING_COMPANY_MATCH","DIRECT_DEAL_COMPANY_CITATION","HIGH","No pre-existing portfolio-company update was approved in this reconciliation; any current match may reflect a later approved new-company addition.","j26_company_73d971e0f59d91410eff4415","Power Factors","At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.","","https://www.powerfactors.com/news/power-factors-welcomes-mubadala-as-strategic-investor-to-support-next-phase-of-growth","9c4bb1041abb4e4712240424b0f5de071dee503303b5ebc3e30d86a6624967e5"
"cmrv5v4br0004h8henkxru5tr","WB-2026-05-02-002","2026-05-08","ANNOUNCED","","Air Liquide Biogas Assets","United States / Europe","NORTH_AMERICA","CONFIRMED_EXISTING_COMPANY_MATCH","DIRECT_DEAL_COMPANY_CITATION","HIGH","Reviewed July 21 reconciliation confirmed an existing portfolio-company relationship.","cmnva13m1016hm8lzzalryzuc","Mobius Renewables","At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.","","https://www.airliquide.com/group/press-releases-news/2026-05-04/air-liquide-divests-its-biogas-production-activities-four-countries","f68a2cdfbb1ad433d939744d4cdd9c462f52e47aa7266aeb4fab9db6809eb504"
"cmrv5v4oq0009h8he2hi351yj","WB-2026-05-02-003","2026-05-08","ANNOUNCED","","Nordergründe Offshore Wind Farm","Germany","EUROPE","NO_EXISTING_COMPANY_MATCH","NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP","NONE","No pre-existing portfolio-company update was approved in this reconciliation; any current match may reflect a later approved new-company addition.","","","No direct citation, deterministic target match, explicit platform signal, or shared company source was found.","","","3f56263b3f88852602caa73903993f830916c10a640f145ed37f2ec33bb1d6e6"
"cmrv5v51m000eh8heazmrw2a1","WB-2026-05-02-004","2026-05-08","ANNOUNCED","","117 MWp Sicily Agrivoltaic Portfolio","Italy","EUROPE","NO_EXISTING_COMPANY_MATCH","NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP","NONE","No pre-existing portfolio-company update was approved in this reconciliation; any current match may reflect a later approved new-company addition.","","","No direct citation, deterministic target match, explicit platform signal, or shared company source was found.","","","6dc58601c4c311014898ed22551fb436642bf51b6bba9fbe609e4670b750f50b"
"cmrv5v5dd000jh8hec6b1pmyr","WB-2026-05-02-005","2026-05-08","ANNOUNCED","","BayWa r.e. Power Solutions","Italy","EUROPE","CONFIRMED_EXISTING_COMPANY_MATCH","DIRECT_DEAL_COMPANY_CITATION","HIGH","Reviewed July 21 reconciliation confirmed an existing portfolio-company relationship.","cmnva0s7a00mwm8lzxn1f2868","BayWa r.e. AG","At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.","","https://www.baywa-re.com/en/news/fervo-acquires-baywa-r-e-power-solutions","9a529edd6dece6bc44d00e1631e896fab4d7efc6b578a7cca08161e36f309bf2"
"cmrv5v5tm000ph8hevth9zmdg","WB-2026-05-02-006","2026-05-08","CLOSED","","Accelerate Infrastructure Opportunities","United States","NORTH_AMERICA","CONFIRMED_EXISTING_COMPANY_MATCH","DIRECT_DEAL_COMPANY_CITATION","HIGH","Reviewed July 21 reconciliation confirmed an existing portfolio-company relationship.","cmnva0y3f00wsm8lz8ghiksys","Accelerate Infrastructure Opportunities","At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.","","https://www.cbreim.com/press-releases/cbre-im-backed-accelerate-surpasses-1-25-billion-dollars-of-equity-commitments","7ae062df6b1115672db725fc4a6ecc6c14ea8b144999f30ab971995fa7b9b23a"
"cmrv5v672000uh8hemppzfgz1","WB-2026-05-02-007","2026-05-08","ANNOUNCED","","NEXTDC","Australia","ASIA_PACIFIC","NO_EXISTING_COMPANY_MATCH","NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP","NONE","No pre-existing portfolio-company update was approved in this reconciliation; any current match may reflect a later approved new-company addition.","","","No direct citation, deterministic target match, explicit platform signal, or shared company source was found.","","","772922ff3f8d1d5fd912fed4941e7a9f9a69162abc7eaba732be2a888aac634d"
"cmrv5v6fn000yh8hezmcs2yes","WB-2026-05-02-008","2026-05-08","ANNOUNCED","","Americold North American Cold Storage JV","North America","NORTH_AMERICA","NO_EXISTING_COMPANY_MATCH","NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP","NONE","No pre-existing portfolio-company update was approved in this reconciliation; any current match may reflect a later approved new-company addition.","","","No direct citation, deterministic target match, explicit platform signal, or shared company source was found.","","","e3ecf6473748c1cfae5ede6584df7c88268fdc1cba04737110939f5f9f20cbdc"
"cmrv5v6qs0012h8heslw5y9nr","WB-2026-05-02-009","2026-05-08","ANNOUNCED","","Textainer / Seaco","Global","NORTH_AMERICA","NO_EXISTING_COMPANY_MATCH","NO_PROVEN_EXISTING_COMPANY_RELATIONSHIP","NONE","No pre-existing portfolio-company update was approved in this reconciliation; any current match may reflect a later approved new-company addition.","","","No direct citation, deterministic target match, explicit platform signal, or shared company source was found.","","","d0824fc6d654d58d1ac4883e7427e3e8072744636a9a9751708f84c94855af1a"
"cmrv5v73v0017h8heeny4a7s8","WB-2026-05-02-011","2026-05-08","ANNOUNCED","","bestUV","Netherlands","EUROPE","CONFIRMED_EXISTING_COMPANY_MATCH","DIRECT_DEAL_COMPANY_CITATION","HIGH","Reviewed July 21 reconciliation confirmed an existing portfolio-company relationship.","cmnva10ir0113m8lzk0e3tavw","H2O Innovation Inc.","At least one published company is explicitly linked to the deal by a Citation row carrying both IDs.","","https://www.globenewswire.com/news-release/2026/05/04/3286757/0/en/H2O-Innovation-Enters-the-UV-Disinfection-Market-with-the-Acquisition-of-bestUV.html","dbaf7ff8c4daf6f1d9cd6641b543dbaa5bfcaee66b333eb17934099642c3f137"
